Label,X,Y,Block Name,Adjacent Points,RFID Tag ID,Point Type
E8,44,27.875,1-1,OE8;E9,,RFID Tag
E7,41.25,22.5,1-1,E6;OE8,,RFID Tag
OE8,43.625,27.125,1-1,E7;E8,,Orientation
E6,36.875,18.3125,1-1,E5;E7,,RFID Tag
E5,31.25,16.5,1-1,E4;E6,,RFID Tag
E4,25.5,16.875,1-1,E3;E5,,RFID Tag
E3,20.5,19.25,1-1,E2;E4,,RFID Tag
E2,16.375,23.625,2-1,E1;E3,,RFID Tag
E1,14.5,28.875,2-1,E0;E2,,RFID Tag
E0,14.875,34.1875,2-1,DF;E1,,RFID Tag
DF,17.1875,40,2-1,DE;E0,,RFID Tag
DE,20.5,44.8125,2-1,DD;DF,,RFID Tag
DD,23.75,49.875,2-1,DC;DE,,RFID Tag
E9,44.1875,33.5,1-1,E8; EA,,RFID Tag
EA,42.25,39.125,1-1,E9;EB,,RFID Tag
EB,38.1875,43.375,1-1,EA;EC,,RFID Tag
EC,33.375,46.625,1-1,EB;ED,,RFID Tag
ED,28.5,50,1-1,EC;EE,,RFID Tag
EE,23.5,53.1875,1-1,ED;EF,,RFID Tag
EF,18.625,56.75,1-1,EE;F0,,RFID Tag
F0,13.875,60.3125,1-1,EF;F1,,RFID Tag
F1,10.25,65.4375,2-2,F0;F2,,RFID Tag
F2,8.5625,70.625,2-2,F1;F3,,RFID Tag
F3,9.4375,76.375,2-2,F2;F4,,RFID Tag
F4,12.625,81.75,2-2,F3;F5,,RFID Tag
F5,17.375,85.0625,2-2,F4;F6,,RFID Tag
F6,23,86.75,2-2,F5;F7,,RFID Tag
F7,28.875,86.25,2-2,F6;F8,,RFID Tag
F8,33.875,83.25,2-2,F7;F9,,RFID Tag
F9,37.625,78.5,2-2,F8;FA,,RFID Tag
FA,39.125,73.125,2-2,F9;FB,,RFID Tag
FB,40.875,67.625,2-2,FA;FC,,RFID Tag
FC,44.375,62.75,2-2,FB;D8,,RFID Tag
FD,71,54.375,2-5,96-A;FF,,RFID Tag
DC,26.875,55.125,2-1,DB;DD,,RFID Tag
DB,31.1875,59.25,2-1,DA;DC,,RFID Tag
DA,36.25,61.375,2-1,D9;DB,,RFID Tag
D9,42.5,61.1875,2-1,D8;DA,,RFID Tag
D8,47.75,59.375,2-3,D7;D9;FC,,RFID Tag
D7,53.4375,56.1875,2-3,D6;D8,,RFID Tag
D6,59.3125,54.4375,2-4,D7;96-A,,RFID Tag
FF,81.911,55.529,2-5,FD;101,,RFID Tag
101,93.552,54.774,2-7,FF;103,,RFID Tag
103,105.129,54.841,2-9,101;105,,RFID Tag
105,79.966,55.22,2-11,103;107,,RFID Tag
107,128.997,55.273,2-11,105;109,,RFID Tag
109,140.644,55.205,2-12,107;10B-A,,RFID Tag
10B-A,151.99,54.999,2-13,109;10D,,RFID Tag
10B-B,151.99,54.999,U-6;5-4,A6;A8,,RFID Tag
10D,163.33,56.775,2-14,10B-A;10F;131,,RFID Tag
10F,174.964,61.703,2-16,10D;111,,RFID Tag
111,186.526,59.28,2-16,10F;113,,RFID Tag
113,193.917,50.159,2-16,111;115,,RFID Tag
115,200.57,40.073,2-16,113;117,,RFID Tag
117,202.297,28.786,2-16,115;119,,RFID Tag
119,195.77,19.491,1-2,117;11B,,RFID Tag
11B,184.159,17.68,1-2,119;11D,,RFID Tag
11D,174.857,24.365,1-2,11B;11F,,RFID Tag
11F,173.372,35.466,1-2,11D;121,,RFID Tag
121,179.571,44.921,1-2,11F;123,,RFID Tag
123,189.641,51.427,1-2,121;125,,RFID Tag
125,199.292,57.841,1-2,123;127,,RFID Tag
127,206.897,66.392,2-15,125;129,,RFID Tag
129,206.045,77.85,2-15,127;12B,,RFID Tag
12B,197.025,85.08,2-15,129;12D,,RFID Tag
12D,185.745,83.781,2-15,12B;12F,,RFID Tag
12F,179.023,74.392,2-15,12D;131,,RFID Tag
131,174.062,64.187,2-15,12F;10D,,RFID Tag
80,2.7973,46.2511,U-48;4-13,7F;82,2A:00:6D:8C:D9,RFID Tag
82,2.5779,33.0651,U-48;4-13,80;84,2A:00:6D:A3:82,RFID Tag
84,3.1271,22.0347,U-48;4-13,82;86,2A:00:6D:53:5B,RFID Tag
86,8.0897,11.7546,U-53;1-11,84;88,2A:00:6D:B1:90,RFID Tag
88,17.7492,4.1846,U-53;1-11,86;8A,2A:00:6D:AD:A9,RFID Tag
8A,29.5312,4.2259,U-53;1-11,88;8C,2A:00:6D:29:EB,RFID Tag
8C,41.0025,5.3725,U-53;1-11,8A;8E,2A:00:6D:47:8F,RFID Tag
8E,50.5652,11.5236,U-53;1-11,8C;90,2A:00:6D:61:F8,RFID Tag
90,56.0021,21.8627,U-57;3-13,8E;CB;92,2A:00:6D:51:39,RFID Tag
92,56.7462,33.3803,3-8,90;94,2A:00:6D:94:6B,RFID Tag
94,58.891,44.5115,3-8,92;96-B,2A:00:6D:61:EA,RFID Tag
96-A,65.1197,54.6178,3-8,D6;FD,03:00:02:85:02,RFID Tag
96-B,65.1197,54.6178,2-4,94;98,03:00:02:85:02,RFID Tag
98,72.9469,63.0465,3-4,96-B;98,2A:00:6C:FD:09,RFID Tag
9A,84.4919,64.935,3-4,98;9C,2A:00:6D:0F:27,RFID Tag
9C,96.2669,65.1408,5-15,9A;9E,2A:00:6D:AC:B1,RFID Tag
9E,108.073,65.0729,5-15,9C;90,2A:00:6C:EC:22,RFID Tag
A0,119.7451,65.511,5-14,9E;A2,2A:00:6D:7F:63,RFID Tag
A2,129.6279,65.6854,5-3,A0;A4,2A:00:6D:28:79,RFID Tag
A4,141.2253,64.7153,5-3,A2;A6,2A:00:6D:14:B2,RFID Tag
A6,150.2962,57.6737,U-6;5-4,A4;A8,2A:00:6D:4A:5B,RFID Tag
A8,156.1038,47.7031,U-6;5-4,A6;AA,2A:00:6D:64:96,RFID Tag
AA,160.1512,36.7748,U-6;5-4,A8;AC,2A:00:6D:77:79,RFID Tag
AC,160.2346,26.1726,U-9;8-1,AA;CF;AE,2A:00:6D:03:48,RFID Tag
AE,163.3551,14.7362,U-12;8-6,AC;B0,2A:00:6C:EE:C1,RFID Tag
B0,171.3698,6.6566,U-12;8-6,AE;B2,2A:00:6D:6C:78,RFID Tag
B2,182.2005,3.5319,U-12;8-6,B0;B4,2A:00:6D:26:7B,RFID Tag
B4,194.3273,3.3838,U-12;8-6,B2;B6,2A:00:6C:F6:7D,RFID Tag
B6,204.9404,7.7674,U-12;8-6,B4;B8,2A:00:6D:00:15,RFID Tag
B8,211.8754,16.6964,U-15;7-6,B6;BA,2A:00:6D:AD:64,RFID Tag
BA,213.5368,28.0219,U-15;7-6,B8;BC,2A:00:6D:28:ED,RFID Tag
BC,213.4455,39.5197,U-15;7-6,BA;BE,2A:00:6D:96:31,RFID Tag
BE,213.4604,51.4445,U-15;7-6,BC;C0,2A:00:6D:91:E1,RFID Tag
C0,213.5777,63.3229,U-15;7-6,BE;C2,2A:00:6D:11:D8,RFID Tag
C2,213.4285,75.029,U-18;8-12,C0;C4,2A:00:6D:25:17,RFID Tag
C4,209.5126,86.1464,U-18;8-12,C2;C6,2A:00:6D:A5:E5,RFID Tag
C6,200.1632,92.9534,U-18;8-12,C4;C8,2A:00:6D:3C:2E,RFID Tag
C8,189.1041,93.8132,U-18;8-12,C6;CA,2A:00:6D:12:EB,RFID Tag
CA,177.4677,91.6222,U-20;8-10,C8;4B,2A:00:6C:FA:5A,RFID Tag
4B,171.0401,90.9598,U-21;8-9,CA;49;D3;4D,2A:00:6D:9D:82,RFID Tag
4D,156.9072,91.0522,U-21;8-9,4B;4F,2A:00:6D:24:99,RFID Tag
4F,145.4083,90.9879,U-22;8-14,4D;51,2A:00:6D:53:A5,RFID Tag
51,133.3713,91.1652,U-22;8-14,4F;53,2A:00:6D:02:23,RFID Tag
53,121.8844,91.4916,U-31;6-5,51;55,2A:00:6D:0E:B8,RFID Tag
55,109.561,91.5477,U-31;6-5,53;57,2A:00:6D:BF:55,RFID Tag
57,97.6,91.2692,U-31;6-5,55;59,2A:00:6D:0B:0A,RFID Tag
59,86.0832,91.5341,U-33;4-3,57;5B,2A:00:6D:02:FA,RFID Tag
5B,74.0193,91.5536,U-33;4-3,59;5D,2A:00:6D:98:CD,RFID Tag
5D,62.3547,91.3515,U-33;4-3,5B;5F,2A:00:6D:6C:0D,RFID Tag
5F,50.5724,91.5715,U-45;1-8,5D;D7;61;73,2A:00:6D:2B:CE,RFID Tag
73,38.8819,91.5223,U-45;1-8,5F;75,2A:00:6D:33:29,RFID Tag
75,27.1897,94.7513,U-47;1-15,73;77,2A:00:6D:AA:F5,RFID Tag
77,15.5303,93.5694,U-47;1-15,75;79,2A:00:6D:66:2A,RFID Tag
79,6.4284,81.7987,U-47;1-15,77;7B,2A:00:6D:2C:19,RFID Tag
7B,2.9716,75.0195,U-48;4-13,79;7D,2A:00:6D:B1:36,RFID Tag
7D,2.799,63.3497,U-48;4-13,7B;7F,2A:00:6C:F7:E7,RFID Tag
7F,2.7236,51.6483,U-48;4-13,7D;80,2A:00:6D:A7:8F,RFID Tag
61,38.6832,91.0206,U-45;1-8,5F;63,,RFID Tag
63,26.8547,91.4575,U-46;1-14,61;65,,RFID Tag
65,15.9338,88.5165,U-46;1-14,63;67,,RFID Tag
67,8.5,79.875,U-49;1-16,65;69,,RFID Tag
69,6.3352,68.6133,U-49;1-16,67;6B,,RFID Tag
6B,6.2667,57.3338,U-49;1-16,69;6D,,RFID Tag
6D,6.3125,44.75,U-50;4-14,6B;6F,,RFID Tag
6F,6.285,33.3249,U-51;4-15,6D;71,,RFID Tag
71,7.1265,20.896,U-52;4-16,6F;00,,RFID Tag
00,10.9523,14.4267,U-55;1-10,71;02,,RFID Tag
02,20.8428,8.9774,U-55;1-10,00;04,,RFID Tag
04,32.8253,8.2073,U-55;1-10,02;06,,RFID Tag
06,43.8501,11.2571,U-58;3-14,04;08,,RFID Tag
08,51.5015,19.8673,U-58;3-14,06;0A,,RFID Tag
0A,52.77,31.7765,U-58;3-14,08;0C,,RFID Tag
0C,52.7266,43.4798,U-59;3-15,0A;0E,,RFID Tag
0E,52.5441,55.355,U-60;3-16,0C;10,,RFID Tag
10,52.3037,67.0172,U-60;3-16,0E;12,,RFID Tag
12,54.7675,78.4841,1-3,10;14,,RFID Tag
14,63.4074,85.7616,U-34;4-4,12;16,,RFID Tag
16,74.8203,86.8247,U-34;4-4,14;18;D3,,RFID Tag
18,86.756,86.7581,4-1,16;1A,,RFID Tag
1A,98.3718,86.9057,U-32;6-6,18;1C,,RFID Tag
1C,110.2126,86.9567,U-32;6-6,1A;1E,,RFID Tag
1E,121.8242,87.071,U-23;8-13,1C;20,,RFID Tag
20,133.758,86.7235,U-23;8-13,1E;22;D5,,RFID Tag
22,145.2101,86.9367,U-25;8-16,20;24,,RFID Tag
24,156.3875,83.6515,1-4,22;26,,RFID Tag
26,163.3942,74.5228,1-4,24;28,,RFID Tag
28,164.5122,63.0587,U-61;8-4,26;2A,,RFID Tag
2A,164.2892,51.4917,U-8;8-3,28;2C;CF,,RFID Tag
2C,164.0683,39.5559,U-10;8-2,2A;2E,,RFID Tag
2E,163.6738,27.5903,U-10;8-2,2C;30,,RFID Tag
30,166.2583,16.4134,U-10;8-2,2E;32,,RFID Tag
32,174.9977,8.8902,8-7,30;34,,RFID Tag
34,186.319,7.5144,8-7,32;36,,RFID Tag
36,198.0231,8.8643,8-7,34;38,,RFID Tag
38,206.7591,16.5156,U-13;7-8,36;3A,,RFID Tag
